hale,健壮的， 矍铄的
belligerent,发动战争的； 好斗的， 好挑衅的
supplant,排挤， 取代
abrupt,突然的， 意外的； 唐突的
predispose,使预先有倾向； 易受感染
spontaneous,自发的； 自然的
blameworthy,该责备的， 有过失的
gloomy,阴暗的； 没有希望的； 阴郁的， 忧郁的
deference,敬意， 尊重
compassionate,有同情心的
other-directed,受人支配的
protective,保护的， 防护的
grandiloquence,豪言壮语， 夸张之言
bogus,伪造的， 假的
flit,掠过， 迅速飞过
indigence,贫穷， 贫困
vengeance,报仇， 报复
authenticate,证明…是真实的
concede,承认； 让步
grumpy,脾气暴躁的
reprimand,训诫， 谴责。训诫，谴责
transitional,转变的， 变迁的
wreak,发泄， 报复； 发泄怒火
commission,委托； 佣金
flip,用指轻弹；蹦蹦跳跳。无礼的； 冒失的； 轻率的
nibble,一点点地咬， 慢慢啃
rescind,废除， 取消
resume,重新开始， 继续
tatter,撕碎。碎片
spiral,螺旋形的；上升的。螺旋式上升或下降
pied,杂色的
effrontery,厚颜无耻； 放肆
gripping,吸引注意力的， 扣人心弦的
stasis,停滞
obvious,明显的， 显而易见的
dogged,顽强的
earthy,粗俗的， 土气的
undulate,波动， 起伏
obese,极胖的
empty,空的，缺乏的。变空， 把…弄空
goof,犯错误； 闲逛， 消磨时间
beatific,幸福的， 快乐的
deploy,部署； 拉长， 展开 especially in width
huddle,挤成一团。一堆人
tie,系， 拴， 绑。平局，不分胜负
rendition,表演， 演唱
gumption,进取心， 魄力； 精明强干
myriad,许多的， 无数的
tattle,闲聊； 泄露秘密
disperse,消散， 驱散
erratic,无规律的， 不稳定的； 古怪的
adoration,崇拜， 爱慕
cinder,余烬， 煤渣
fantasy,想象， 幻想
erode,侵蚀； 受到侵蚀
informative,提供信息的； 见闻广博的
tusk,长牙
sane,神志清楚的； 明智的
frustrate,挫败， 使沮丧
jounce,颠簸地移动
gorgeous,华丽的； 极好的
importune,强求， 胡搅蛮缠
wacky,古怪的， 乖僻的
harp,弹竖琴； 喋喋不休地说或写。竖琴
inmate,同住者， 同居者
fickleness,浮躁； 变化无常
embody,使具体化， 体现
regale,款待， 宴请； 使…快乐
welter,混乱， 杂乱无章
muster,召集， 聚集
verifiable,能作证的
ascent,上升， 攀登； 上坡路； 提高， 提升
comprehensible,可理解的， 易于理解的
motivate,激发， 刺激
projection,突起物， 隆起物； 设计， 规划； 发射， 投射
dissident,唱反调者
multiply,乘； 增加； 繁殖
fluffy,有绒毛的； 无聊的， 琐碎的
immolate,牺牲， 献祭
hauteur,傲慢
hedonist,享乐主义者
hypochondriac,忧郁症的。忧郁症患者
conducive,有助于…的， 有益的
iridescent,色彩斑斓的
multiple,多样的， 多重的
chaffing,玩笑的， 嘲弄的
requite,报答； 报复
haggard,憔悴的， 消瘦的
poignant,令人痛苦的， 伤心的； 尖锐的， 尖刻的
puncture,刺穿，戳破。刺孔， 穿孔
omnivorous,杂食的； 兴趣杂的
foolproof,极易懂的， 十分简单的
taking,楚楚动人的， 迷人的
terrifying,恐怖的
romance,虚构。传奇故事；虚构；浪漫氛围；风流韵事
impeach,控告； 怀疑； 弹劾
artistry,艺术技巧
catalog,目录； 系列
immortal,不朽的， 流芳百世的
narcissist,自恋狂， 自恋者
sate,使心满意足， 使厌腻
conjecture,推测， 臆测
burlesque,讽刺或滑稽的戏剧， 滑稽剧
sash,肩带
carrion,腐肉
conceit,自负， 自大
indelible,擦拭不掉的， 不可磨灭的
timid,羞怯的； 胆怯的， 怯懦的
decentralize,分散， 权力下放 from central government to regional government)
phobia,恐惧症
angular,生硬的， 笨拙的； 有角的； 瘦削的
remit,免除； 宽恕； 汇款
fallow,休耕的。休耕地
assuredness,确定； 自信
podium,讲坛， 指挥台
ensue,接着发生
weightless,无重力的， 失重的
hash,杂乱， 混乱； 杂烩菜
homage,效忠； 敬意
pine,憔悴； 渴望。松树
stagger,蹒跚， 摇晃
enliven,使…更活跃或更愉快
syndrome,综合症
fraternity,同行； 友爱
redundancy,多余， 累赘； 裁员； 人浮于事
rote,死记硬背
forfeiture,丧失
jagged,锯齿状的， 参差不齐的
harmonic,和声的； 和谐的
toy,不认真地对待， 玩弄
beholden,因受恩惠而心存感激，感谢；欠人情
impoverish,使贫穷
hallowed,神圣的
whirlpool,旋涡
intellectual,智力的；理性的。知识分子
reclaim,纠正， 改造； 开垦
interchangeable,可互换的
allegory,寓言
sarcastic,讽刺的
interchangeably,可互换地
disengage,脱离， 解开
officious,过于殷勤的， 多管闲事的； 非官方的
resurrect,使复活； 复兴
cosycozy,温暖而舒适的
cantankerous,脾气坏的； 好争吵的
con,欺骗。反对论
kudos,声誉， 名声
cow,母牛，奶牛。恐吓，威胁
quack,庸医的。冒牌医生，庸医
reverberate,发出回声， 回响
coy,腼腆的， 忸怩作态的
pacify,使安静， 抚慰
bruise,受伤， 擦伤
automation,自动装置
academic,学院的， 学术的； 理论的
rove,流浪， 漂泊
patriot,爱国者， 爱国主义者
pernicious,有害的； 致命的
rout,溃败
peddle,兜售
indistinguishable,无法区分的， 难以分辨的
acidic,酸的， 酸性的
hawk,隼， 鹰
voracity,贪食； 贪婪
impenitent,不知悔悟的
avocation,副业； 嗜好
scission,切断， 分离， 断开
hazy,朦胧的， 不清楚的
renowned,有名的
clammy,湿冷的， 发粘的
effective,有效的， 生效的； 给人印象深刻的
pother,烦恼。喧扰，骚动
flux,不断的变动， 变迁， 动荡不安
skullduggery,欺骗， 使诈
slattern,不整洁的。邋遢的女人
resurgence,再起， 复活， 再现
ideological,意识形态的， 思想体系的； 思想上的
celibate,不结婚的。独身者
probe,调查， 探测
incorrigibility,无可救药
clamor,吵闹， 喧哗
harness,束以马具； 利用， 控制。马具，挽具
impatience,不耐烦， 焦躁
sketch,画草图， 写概略。草图，概略
narcissism,自恋， 自爱
fatten,长胖， 变肥； 使…肥沃； 装满
interlock,互锁， 连结
